< 자동차 등록현황(총 계) >,,,,,,,,,,,,,,,,,,,,,,
조회년월: 2021.11,,,,,,,,,,,,,,,,,,,,,,
,,,,차 종 별,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,합계
,,,고속버스,,  ,  ,  ,  ,  ,  ,  ,  ,5 ,  ,  ,  ,  ,  ,  ,9 ,1 ,15 
,,,농어촌버스,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
,,,마을버스,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
,,,승합일반기타형 계,,82734 ,33068 ,23482 ,36737 ,15421 ,15895 ,11440 ,3430 ,157571 ,23092 ,23548 ,32883 ,26188 ,29613 ,38988 ,42135 ,14003 ,610228 
,,,,승합일반 15인 이하,77973 ,30734 ,21413 ,34779 ,14222 ,14710 ,10243 ,3171 ,147272 ,20956 ,21609 ,30024 ,24117 ,27067 ,34939 ,38270 ,13150 ,564649 
,,,,승합일반 25인 이하,1562 ,727 ,699 ,692 ,485 ,480 ,457 ,98 ,3670 ,770 ,716 ,1012 ,818 ,1083 ,1390 ,1242 ,352 ,16253 
,,,,승합일반 35인 이하,1127 ,454 ,398 ,392 ,298 ,256 ,273 ,59 ,2161 ,601 ,454 ,693 ,578 ,711 ,880 ,900 ,250 ,10485 
,,,,승합일반 50인 이하,2009 ,1116 ,914 ,839 ,407 ,443 ,450 ,102 ,4246 ,745 ,746 ,1132 ,659 ,738 ,1661 ,1657 ,244 ,18108 
,,,,승합일반 51인 이상,63 ,37 ,58 ,35 ,9 ,6 ,17 ,  ,222 ,20 ,23 ,22 ,16 ,14 ,118 ,66 ,7 ,733 
,,승합특수형 계,,,4461 ,1662 ,1860 ,1719 ,1207 ,1248 ,737 ,436 ,9196 ,1649 ,1558 ,2208 ,1534 ,1716 ,2633 ,2568 ,543 ,36935 
,,,구급차,,927 ,441 ,300 ,267 ,271 ,171 ,110 ,28 ,1082 ,299 ,263 ,313 ,290 ,371 ,431 ,500 ,80 ,6144 
,,,장의차,,57 ,8 ,26 ,18 ,11 ,21 ,3 ,  ,71 ,16 ,24 ,27 ,22 ,16 ,37 ,15 ,9 ,381 
,,,"헌혈, 채혈차",,2 ,  ,  ,1 ,1 ,  ,  ,  ,2 ,  ,  ,  ,  ,1 ,1 ,1 ,1 ,10 
,,,"방송, 보도용차",,20 ,1 ,1 ,2 ,2 ,2 ,3 ,3 ,13 ,3 ,3 ,1 ,1 ,4 ,3 ,3 ,1 ,66 
